"PDB","UniProt","Len.","Res.","ECOD ID","SCOPe ID","CATH ID","α%","β%","Coil%","Avg. RMSF","Avg. gyr.","Div. SE","Div. MM","NR domain"
"1oh9A","P0A6C8","258","1.91","[7531.1.1.1]","c.73.1.2","3.40.1160.10","42","24","34","1.04","18.14","0.863","0.939","Yes"
"1oisA","P04786","223","1.9","[4039.1.1.2] [4057.1.1.1]","e.15.1.1","1.10.10.41 2.170.11.10","29","20","51","1.35","21.27","0.878","0.731","Yes"
"1ojhC","Q8YNP7","65","1.8","[562.1.1.1]","a.214.1.1","1.10.287.670","68","0","32","3.82","16.24","0.461","0.399","Yes"
"1ojqA","Q9ADS9","212","1.68","237.1.1.1","d.166.1.1","3.90.176.10","37","25","38","1.10","18.25","0.910","0.865","No"
"1ok0A","P01092","74","0.93","[701.1.1.1]","b.5.1.1","2.60.40.20","0","47","53","0.74","11.81","0.860","0.897","Yes"
"1ouwC","P93114","152","1.37","76.1.1.12","b.77.3.1","2.100.10.30","0","60","40","0.98","14.90","0.876","0.841","No"
"1p5gX","P26276","463","1.61","331.2.1.5 [7528.1.1.1] 7528.1.1.2 7528.1.1.3","c.84.1.1 c.84.1.1 c.84.1.1 d.129.2.1","3.30.310.50 3.40.120.10 3.40.120.10 3.40.120.10","38","24","38","1.13","23.46","0.833","0.939","Yes"
"1pbyC","Q8VUT0","79","1.7","[584.1.1.1]","a.137.9.1","4.10.940.10","15","0","85","5.67","14.75","0.226","0.199","Yes"
"1pcfC","P53999","66","1.74","295.1.1.20","d.18.1.1","2.30.31.10","26","52","23","2.22","14.13","0.482","0.503","No"
"1pchA","P45611","88","1.8","[322.1.1.2]","d.94.1.1","3.30.1340.10","38","25","38","0.62","11.97","0.923","0.813","Yes"
"1pp0C","Q6USC4","199","1.42","858.1.1.1","d.103.1.1","3.40.198.10","31","38","31","1.01","17.33","0.872","0.880","No"
"1ptqA","P28867","50","1.95","[376.1.2.1]","g.49.1.1","3.30.60.20","6","24","70","1.11","10.56","0.673","0.655","Yes"
"1pucA","P08463","105","1.95","[811.1.1.1]","d.97.1.1","3.30.170.10","23","11","66","3.69","15.94","0.557","0.537","Yes"
"1pv5A","P96719","264","1.75","[804.1.1.1]","d.251.1.1","2.30.320.10","17","26","56","0.99","19.71","0.931","0.856","Yes"
"1q2hA","O14492","69","1.7","[165.3.1.]","a.34.4.1","6.10.140.110","80","0","20","3.01","16.49","0.472","0.348","Yes"
"1q74C","P9WJN3","303","1.7","7567.1.1.1","c.134.1.1","3.40.50.10320","31","17","52","1.09","19.24","0.915","0.909","No"
"1q8fA","P33022","313","1.7","7517.1.1.1","c.70.1.1","3.90.245.10","39","17","44","0.94","18.72","0.916","0.897","No"
"1qauA","P29476","112","1.25","7.1.1.2","b.36.1.1","2.30.42.10","13","45","42","1.21","14.46","0.897","0.821","No"
"1qb7A","Q27679","236","1.5","7573.1.1.1","c.61.1.1","3.40.50.2020","31","24","45","2.15","18.53","0.838","0.817","No"
"1qcsA","P18708","211","1.9","1.1.2.4 [229.1.1.1]","b.52.2.3 d.31.1.1","2.40.40.20 3.10.330.10","14","40","46","1.36","18.29","0.863","0.796","Yes"
"1qddA","P05451","144","1.3","[209.1.1.24]","d.169.1.1","3.10.100.10","18","28","53","1.74","15.91","0.882","0.884","Yes"
"1qgiA","P33673","259","1.6","[235.1.1.7]","d.2.1.7","1.20.141.10 3.30.386.10","58","7","36","0.94","18.52","0.934","0.808","Yes"
"1qhvA","P03275","195","1.51","[5092.1.1.1]","b.21.1.1","2.60.90.10","5","40","55","0.98","16.37","0.917","0.911","Yes"
"1ql0B","P13717","241","1.1","378.1.1.5","d.4.1.2","3.40.570.10","24","21","55","0.70","16.99","0.956","0.945","No"
"1qlmA","P94954","316","2.0","[869.1.1.1]","d.147.1.1","3.10.340.11 3.30.1030.10","38","24","38","0.73","19.32","0.950","0.930","Yes"
"1qnxA","Q05110","209","1.9","[273.1.1.2]","d.111.1.1","3.40.33.10","30","18","52","0.79","17.53","0.931","0.855","Yes"
"1qw2A","Q9HIX0","102","1.5","850.1.1.1","d.249.1.1","3.30.1980.10","24","32","44","1.94","13.57","0.808","0.803","No"
"1qwzA","Q2FZE3","235","1.75","[290.1.1.1]","b.100.1.1","2.40.260.10","24","26","50","2.47","19.29","0.869","0.844","Yes"
"1qxoA","P0A2Y6","388","2.0","[875.1.1.1]","d.258.1.1","3.60.150.10","37","21","43","1.49","23.98","0.858","0.879","Yes"
"1r0kA","Q9X5F2","388","1.91","[166.1.1.1] 298.1.1.6 2003.1.1.408","a.69.3.1 c.2.1.3 d.81.1.3","1.10.1740.10 3.40.50.720","51","15","34","1.17","21.82","0.842","0.940","Yes"
"1r5lA","P49638","262","1.5","[103.1.1.1] [2496.1.1.1]","a.5.3.1 c.13.1.1","1.10.8.20 1.20.5.1200 3.40.525.10","55","10","35","0.92","18.66","0.944","0.910","Yes"
"1r6wA","P29208","322","1.62","[218.1.1.5] 2002.1.1.1056","c.1.11.2 d.54.1.1","3.20.20.120 3.30.390.10","37","24","39","1.09","20.64","0.896","0.879","Yes"
"1r8mE","Q99418","203","1.7","[168.1.1.1]","a.118.3.1","1.10.220.20 1.10.1000.11","65","1","34","1.01","20.02","0.865","0.857","Yes"
"1r9fA","P11690","136","1.85","[843.1.1.1]","d.255.1.1","3.30.390.180","34","24","43","2.30","16.85","0.727","0.704","Yes"
"1rgzA","P05364","363","1.37","[4019.1.1.25] 223.3.1.22","e.3.1.1","3.40.710.10","39","23","38","0.76","20.14","0.962","0.937","Yes"
"1rk8B","Q9V535","147","1.9","[861.1.1.1]","d.232.1.1","3.30.1560.10","35","35","31","1.37","16.31","0.845","0.814","Yes"
"1rl6A","P02391","177","2.0","[318.1.1.4] 318.1.1.5","d.141.1.1 d.141.1.1","3.90.930.12 3.90.930.12","22","37","41","2.43","21.26","0.702","0.708","Yes"
"1rlkA","Q9HLW6","117","1.95","[2501.1.1.2]","c.131.1.1","3.40.1490.10","45","26","29","0.94","14.39","0.864","0.851","Yes"
"1rm6B","O33819","324","1.6","244.3.1.1 217.1.1.6 [1109.1.1.2]","d.87.2.1 d.145.1.3","3.30.390.50","31","24","45","1.33","20.72","0.890","0.818","Yes"
"1rqjA","P22939","299","1.95","141.1.1.11","a.128.1.1","1.10.600.10","73","1","26","0.82","18.90","0.957","0.903","No"
"1rrmA","P0A9S1","386","1.6","4002.1.1.7 2007.1.7.5","e.22.1.2","1.20.1090.10 3.40.50.1970","55","11","33","1.06","20.79","0.903","0.885","No"
"1rssA","P17291","151","1.9","[167.1.1.4]","a.75.1.1","1.10.455.10","61","11","28","1.36","17.78","0.875","0.874","Yes"
"1ru4A","P0C1A7","400","1.6","[207.2.1.23]","b.80.1.9","2.160.20.10","4","28","68","0.63","21.53","0.973","0.958","Yes"
"1rylA","P76483","167","1.6","[618.1.1.1]","d.276.1.1","3.40.1760.10","50","16","35","0.91","16.46","0.905","0.828","Yes"
"1s9rA","P23793","410","1.6","232.1.1.1","d.126.1.4","1.10.3930.10 3.75.10.10","35","20","46","0.84","21.70","0.919","0.926","No"
"1s9uA","Q8ZPK0","207","1.38","[629.1.1.1]","a.184.1.1","1.10.3480.10","56","1","43","1.02","16.96","0.930","0.896","Yes"
"1sdiA","P25746","213","1.65","[578.1.1.1]","a.198.1.1","1.10.3890.10","73","0","27","0.95","16.76","0.914","0.855","Yes"
"1seiA","P56209","130","1.9","320.2.1.4 [4988.1.1.4]","d.140.1.1","3.30.1370.30 3.30.1490.10","30","31","39","1.17","15.30","0.787","0.713","Yes"
"1sf9A","O31576","128","1.71","4.1.1.126 [3004.1.1.1]","b.34.15.1","1.10.287.880 2.30.30.340","41","19","40","5.28","18.45","0.746","0.662","Yes"
"1ssqD","P43886","267","1.85","208.1.1.9 [1114.1.1.1]","b.81.1.6","1.10.3130.10 2.160.10.10","43","16","40","1.23","19.85","0.880","0.897","Yes"
"1svbA","P14336","395","1.9","11.1.1.85 [5090.1.1.3]","b.1.18.4 f.10.1.1","2.60.40.350 2.60.98.10 3.30.67.10 3.30.387.10","9","47","45","1.89","34.63","0.755","0.732","Yes"
"1sx3A","P0A6F5","525","2.0","[593.1.1.1] 2487.1.1.20 2498.5.1.1","-","1.10.560.10 3.30.260.10 3.50.7.10","51","17","31","1.92","27.36","0.782","0.759","Yes"
"1t61E","Q7SIB2","229","1.5","352.1.1.1 352.1.1.1","d.169.1.6 d.169.1.6","2.170.240.10","8","38","54","1.49","18.82","0.841","0.818","No"
"1t7vA","P25311","278","1.95","11.1.1.2544 [233.1.1.2]","b.1.1.2 d.19.1.1","2.60.40.10 3.30.500.10","24","39","37","2.30","24.21","0.766","0.614","Yes"
"1t8kA","P0A6A8","77","1.1","[132.1.1.2]","a.28.1.1","1.10.1200.10","53","3","44","0.84","11.76","0.885","0.782","Yes"
"1t95A","O29759","240","1.9","103.8.1.1 251.1.1.1 304.24.1.6","a.5.8.1 d.58.11.3 d.235.1.2","1.10.10.900 3.30.70.240 3.30.1250.10","45","23","32","2.70","24.77","0.487","0.584","No"
"1t9iB","P05725","163","1.6","242.1.1.4","d.95.2.1","3.10.28.10","57","19","24","1.05","18.22","0.844","0.802","No"
"1tagA","P04695","324","1.8","[135.1.1.2] 2004.1.1.144","a.66.1.1 c.37.1.8","1.10.400.10 3.40.50.300","49","14","37","1.45","21.91","0.870","0.653","Yes"
"1tdzA","P42371","272","1.8","3504.2.1.1 102.2.1.2 377.2.1.13","a.156.1.2 b.113.1.1 g.39.1.8","1.10.8.50 3.20.190.10","32","24","45","1.17","21.15","0.756","0.864","No"
"1tezB","P05327","474","1.8","182.1.1.1 2005.1.1.129","a.99.1.1 c.28.1.1","1.10.579.10 1.25.40.80 3.40.50.620","55","5","40","0.95","24.20","0.946","0.926","No"
"1tg7A","Q700S9","971","1.9","10.1.2.461 10.1.2.462 11.31.1.1 12.1.1.68 [4077.1.1.1] 2002.1.1.89","b.18.1.27 b.18.1.27 b.71.1.5 b.149.1.1 c.1.8.14","2.60.120.260 2.60.120.260 2.60.390.10 2.102.20.10 3.20.20.80","15","32","53","0.79","30.93","0.970","0.974","Yes"
"1tgrA","P05019","52","1.42","367.1.1.1","g.1.1.1","1.10.100.10","69","0","31","1.12","10.79","0.592","0.558","No"
"1tovA","Q20728","98","1.77","[4.1.1.9]","b.34.10.1","2.30.30.190","14","32","54","1.14","13.96","0.826","0.849","Yes"
"1tt8A","P26602","164","1.0","[814.1.1.1]","d.190.1.1","3.40.1410.10","23","38","39","0.85","15.39","0.868","0.892","Yes"
"1tzwA","Q9X286","142","1.6","[195.1.1.2]","a.79.1.1","1.10.940.10","69","0","31","0.95","15.35","0.881","0.840","Yes"
"1u07A","P02929","90","1.13","272.1.1.3","d.212.1.2","3.30.2420.10","18","38","44","1.50","14.95","0.707","0.747","No"
"1u09A","Q9QCE4","476","1.91","4967.1.1.4 304.48.1.146","e.8.1.4","1.20.960.20 3.30.70.270","42","18","40","0.94","23.65","0.951","0.896","No"
"1u55A","Q8RBX6","188","1.77","873.1.1.3","d.278.1.1","3.90.1520.10","49","21","30","1.08","17.67","0.737","0.783","No"
"1u6rB","P00563","380","1.65","199.1.1.1 321.1.1.1","a.83.1.1 d.128.1.2","1.10.135.10 3.30.590.10","38","15","47","1.22","22.18","0.870","0.865","No"
"1u6tA","O75368","121","1.9","[2485.1.1.37]","c.47.1.0","3.40.30.10","50","15","36","2.29","16.38","0.798","0.785","Yes"
"1u7kD","P03336","131","1.85","170.2.1.1","a.73.1.1","1.10.375.10","57","6","37","0.97","15.39","0.893","0.856","No"
"1u84A","Q5KVS1","90","1.6","[592.2.1.1]","a.230.1.1","1.10.340.20","70","0","30","1.74","13.32","0.820","0.806","Yes"
"1u8vC","P55792","490","1.6","4052.1.1.2 4033.1.1.4 633.6.1.4","a.29.3.1 e.6.1.1","1.10.3140.10 1.20.140.10 2.40.110.10","52","14","34","1.37","24.63","0.898","0.859","No"
"1ugpA","Q7SID2","203","1.63","[830.1.1.1]","d.149.1.1","3.90.330.10","47","11","42","2.97","19.82","0.750","0.757","Yes"
"1uhaA","P83790","82","1.5","[387.1.2.1] 387.1.2.1","g.3.1.1 g.3.1.1","3.30.60.10 3.30.60.10","16","20","65","1.50","14.10","0.589","0.569","Yes"
"1uoyA","P83799","64","1.5","[928.1.1.1]","g.3.19.1","2.30.130.50","5","28","67","0.76","10.35","0.726","0.760","Yes"
"1uptD","P40616","60","1.7","[548.1.1.]","a.193.1.1","1.10.220.60","80","0","20","1.70","13.70","0.720","0.485","Yes"
"1utgA","P02779","70","1.34","[173.1.1.2]","a.101.1.1","1.10.210.10","70","0","30","1.74","12.56","0.597","0.524","Yes"
"1uwkB","P25080","557","1.19","321.2.1.1 4022.1.1.1 2003.1.1.98","e.51.1.1","3.40.50.10730 3.40.1770.10","44","14","42","0.94","23.02","0.941","0.930","No"
"1ux6A","P07996","350","1.9","10.1.1.37 [921.1.1.2]","b.29.1.16 g.75.1.1","2.60.120.200 4.10.1080.10","4","31","65","5.07","23.21","0.644","0.626","Yes"
"1uxyA","P08373","340","1.8","217.1.1.4 [313.1.1.1]","d.145.1.2 d.146.1.1","3.30.43.10 3.30.465.10 3.90.78.10","30","26","44","1.02","20.79","0.946","0.831","Yes"
"1uz3A","Q7Z589","102","1.1","[4133.1.1.1]","a.283.1.1","1.10.1240.40","69","0","31","3.32","17.57","0.709","0.662","Yes"
"1v0wA","P84147","506","1.35","[300.1.1.2] 300.1.1.2","d.136.1.2 d.136.1.2","3.30.870.10 3.30.870.10","34","21","45","0.89","22.21","0.933","0.930","Yes"
"1v4pC","O58307","157","1.45","309.1.2.5","d.67.1.2","3.30.54.20 3.30.980.10","35","32","33","0.79","15.83","0.944","0.892","No"
"1v7rA","O59580","186","1.4","7504.1.1.2","c.51.4.1","3.90.950.10","39","26","34","0.96","17.13","0.863","0.738","No"
"1v7zF","P83772","260","1.6","[7539.1.1.1]","c.125.1.1","3.40.50.10310","45","10","45","1.39","19.70","0.844","0.843","Yes"
"1v9mA","P74902","323","1.85","[5060.1.1.3] 5060.1.1.4 5060.1.1.4","f.40.1.1","1.10.132.50 1.20.1690.10 1.20.1690.10","70","0","30","1.03","20.05","0.913","0.847","Yes"
"1vajA","O57770","214","1.82","[4139.1.1.2] 4139.1.1.3","d.309.1.1","3.30.700.20 3.30.1490.150","34","25","41","1.42","18.29","0.741","0.744","Yes"
"1vbiA","Q53W84","344","1.8","[276.1.1.1]","c.122.1.0","1.10.1530.10 3.30.1370.60","42","18","40","1.24","21.03","0.821","0.810","Yes"
"1vbwA","Q7M1Q1","68","0.93","[294.1.1.2]","d.40.1.1","3.30.10.10","21","25","54","0.84","11.62","0.758","0.817","Yes"
"1vccA","P68698","77","1.6","[818.1.1.2]","d.121.1.1","3.30.66.10","13","34","53","0.81","12.63","0.826","0.762","Yes"
"1vclA","Q868M7","432","1.7","6.1.1.91 6.1.1.91 825.1.1.3","b.42.2.1 b.42.2.1 d.281.1.1","2.80.10.50 2.80.10.50 3.30.1750.10","7","39","53","0.95","23.48","0.937","0.924","No"
"1vdkB","P84127","466","1.8","4952.1.1.11 4953.1.1.4 602.1.1.2","a.127.1.1","1.10.40.30 1.10.275.10 1.20.200.10","61","7","32","1.52","31.46","0.862","0.883","No"
"1ve0A","Q96YV5","134","2.0","[846.1.1.1]","d.273.1.0","2.60.120.460","25","38","37","0.84","15.96","0.906","0.869","Yes"
"1vk1A","Q8U3S5","242","1.2","876.1.1.1 [5103.1.1.1]","d.268.1.2","3.30.1760.10 3.90.1530.10","34","28","38","0.86","19.47","0.922","0.902","Yes"
"1vkmC","Q9X1H5","297","1.9","[7549.1.1.1]","c.138.1.1","3.40.1790.10","45","18","37","1.31","19.17","0.916","0.910","Yes"
"1vlbA","Q46509","907","1.28","[179.1.1.1] 221.1.1.12 [231.1.1.1] 231.1.1.1 325.1.1.1","a.56.1.1 d.15.4.2 d.41.1.1 d.133.1.1","1.10.150.120 3.10.20.30 3.30.365.10 3.30.365.10 3.30.365.10 3.30.365.10 3.90.1170.50","31","23","45","0.84","27.99","0.950","0.962","Yes"
"1vr8A","Q9X1V7","142","1.75","[881.2.1.1]","d.312.1.1","3.40.1000.20","20","40","39","1.57","15.05","0.876","0.870","Yes"
"1vyiA","P22363","112","1.5","[4069.1.1.2]","d.293.1.1","1.20.120.820","65","9","26","1.17","14.69","0.870","0.823","Yes"
"1vzyB","P37565","291","1.97","[848.1.1.1] [4203.1.1.1]","d.193.1.1 g.81.1.1","3.55.30.10 3.90.1280.10","36","30","34","1.59","21.83","0.805","0.849","Yes"
"1w2wA","Q06489","211","1.75","[3651.1.1.2]","c.124.1.5","1.20.120.420","60","6","35","1.72","20.68","0.710","0.695","Yes"
"1w53A","P40399","84","1.6","[4982.1.1.2]","a.186.1.2","1.10.1240.30","82","0","18","1.75","13.12","0.590","0.683","Yes"
"1wbeA","P68265","209","1.36","[631.1.1.1]","a.224.1.1","1.10.3520.10","62","2","36","1.15","18.12","0.866","0.824","Yes"
"1wd5A","Q5SIB2","208","2.0","[7573.1.1.1]","c.61.1.1","3.30.1310.20 3.40.50.2020","42","24","34","0.78","16.95","0.912","0.851","Yes"
"1wf3A","Q5SM23","301","1.88","327.11.1.2 2004.1.1.258","c.37.1.8 d.52.3.1","3.30.300.20 3.40.50.300","39","24","37","1.02","20.81","0.847","0.841","No"
"1whiA","P04450","122","1.5","[3174.1.1.7]","b.39.1.1","2.40.150.20","8","36","56","0.67","13.86","0.923","0.930","Yes"
"1whzA","Q5SH17","70","1.52","[330.7.1.3]","d.50.3.2","3.30.920.30","39","23","39","0.90","11.72","0.829","0.810","Yes"
"1wlgB","P0A1J1","299","1.8","4998.1.1.1 [4167.1.1.1]","b.152.1.1","2.60.98.20","2","45","53","2.64","28.92","0.635","0.853","Yes"
"1wnaA","Q5SI52","131","1.58","[4263.1.1.1]","d.319.1.1","3.40.1530.10","32","24","44","0.81","13.83","0.918","0.877","Yes"
"1wpbA","Q1R9C1","172","2.0","[4981.1.1.1] [4359.1.1.1]","a.233.1.1","1.10.287.680 1.10.3190.10","58","1","41","3.89","20.44","0.630","0.646","Yes"
"1wpuA","P10943","147","1.48","[849.1.1.1]","d.275.1.1","3.40.1510.10","40","29","31","1.10","16.03","0.829","0.801","Yes"
"1wq6A","Q06455","72","2.0","[6007.1.1.1]","-","6.10.250.230","76","0","24","4.53","28.60","0.573","0.566","Yes"
"1wq8A","P67863","110","1.9","[385.1.1.8]","g.17.1.1","2.10.90.10","11","54","35","3.67","18.75","0.717","0.706","Yes"
"1wqjB","P22692","80","1.6","389.6.1.4","g.3.9.1","4.10.40.20","14","21","65","1.33","14.85","0.773","0.612","No"
"1wuiL","P21852","534","1.04","[4046.1.1.2] [4025.1.1.4] 244.4.1.4 244.4.1.10","e.18.1.1","1.10.645.10","47","16","38","0.83","23.38","0.947","0.936","Yes"
"1wuiS","P21852","267","1.04","2007.1.3.30 [4024.1.1.1]","e.19.1.1","3.40.50.700 4.10.480.10","39","15","46","1.28","20.16","0.863","0.843","Yes"
"1wx1B","Q7SIC7","335","1.97","7553.1.1.1","c.39.1.1","1.10.1610.10 3.40.50.10210","52","13","35","0.92","20.93","0.903","0.906","No"
"1x6iA","P64559","91","1.2","516.1.1.1","a.218.1.0","1.10.150.250","64","0","36","1.28","12.79","0.854","0.833","No"
"1x6jA","P64559","91","2.0","[516.1.1.1]","a.218.1.0","1.10.150.250","66","0","34","1.54","12.81","0.800","0.803","Yes"
"1xeoA","P0A6K3","168","1.3","[289.1.1.1]","d.167.1.1","3.90.45.10","35","29","36","1.30","16.57","0.857","0.831","Yes"
"1xg0A","Q00433","76","0.97","[851.1.1.1]","d.184.1.1","3.90.510.10","20","21","59","5.93","15.79","0.258","0.323","Yes"
"1xhkB","Q58812","187","1.9","212.1.1.23 3010.1.1.5","d.14.1.10","3.30.230.10","33","28","39","0.78","16.08","0.925","0.893","No"
"1xkgA","P08176","312","1.61","[3998.1.1.1] 219.1.1.194","d.3.1.1","3.90.70.10","35","15","50","1.06","20.16","0.941","0.958","Yes"
"1xknA","Q8KCB6","355","1.6","[232.1.1.6]","d.126.1.6","3.75.10.10","30","26","44","1.25","20.20","0.803","0.818","Yes"
"1xkrA","Q9X006","206","1.75","[866.1.1.1]","d.252.1.1","3.40.1550.10","43","27","30","0.87","17.08","0.937","0.927","Yes"
"1xmkA","P55265","79","0.97","[101.1.2.147]","a.4.5.19","1.10.10.10","56","13","32","1.12","12.33","0.726","0.760","Yes"
"1xo7B","Q4DPB9","166","1.61","75.1.1.6","b.62.1.1","2.40.100.10","14","34","52","0.62","14.70","0.955","0.913","No"
"1xszA","Q8RT31","356","1.41","168.1.1.1 331.14.1.1","a.118.3.1 d.129.9.1","1.10.220.20 1.10.1000.11 3.30.310.140","53","11","36","1.20","22.78","0.902","0.856","No"
"1xtaA","Q7T1K6","221","1.58","273.1.1.2 [354.1.1.1]","d.111.1.1 g.19.1.0","1.10.10.740 3.40.33.10","30","17","52","1.15","18.64","0.865","0.802","Yes"
"1xtyB","Q980V1","120","1.8","2501.1.1.2","c.131.1.0","3.40.1490.10","45","25","30","0.85","14.32","0.924","0.916","No"
"1xvgE","P22869","170","1.96","[640.1.1.1]","a.23.3.1","1.20.1280.10 1.20.1280.30","63","2","35","2.23","19.41","0.721","0.776","Yes"
"1xwlA","P52026","580","1.7","[4964.1.1.8] [4970.1.1.14] 304.48.1.34 2484.1.1.71","c.55.3.5 e.8.1.1","1.10.150.20 1.20.1060.10 3.30.70.370 3.30.420.10","54","12","34","1.59","27.88","0.849","0.907","Yes"
"1y0nA","Q9HYE3","78","2.0","[4137.1.1.1]","d.291.1.1","1.10.10.610","42","15","42","1.29","13.12","0.736","0.746","Yes"
"1y6iA","P72583","233","1.78","4304.1.1.1 109.4.1.167","a.118.1.22 a.261.1.1","1.10.10.1770 1.25.40.620","57","0","43","0.87","19.18","0.950","0.911","No"
"1y7tB","P10584","327","1.65","279.1.1.24 2003.1.1.40","c.2.1.5 d.162.1.1","3.40.50.720 3.90.110.10","47","19","34","0.88","19.81","0.907","0.907","No"
"1yocB","Q9I2R0","147","1.7","222.1.1.7","d.38.1.5","3.10.129.10","35","37","29","1.01","15.18","0.834","0.898","No"
"1yoeA","P41409","322","1.78","[7517.1.1.1]","c.70.1.0","3.90.245.10","37","18","46","1.44","19.40","0.872","0.876","Yes"
"1yozB","O29321","116","2.0","[4204.1.1.1]","a.253.1.1","1.10.3200.10","72","0","28","0.74","15.31","0.855","0.886","Yes"
"1ypyA","P07612","184","1.51","[3607.1.1.1]","-","-","49","19","32","1.73","16.46","0.785","0.763","Yes"
"1yqeA","O29630","282","1.83","2011.2.1.8 [4978.1.1.1]","c.56.7.1","3.40.50.10700 3.40.630.50","36","26","38","0.76","18.77","0.943","0.929","Yes"
"1ys1X","P22088","320","1.1","[7579.1.1.20]","c.69.1.18","3.40.50.1820","37","17","46","1.34","19.22","0.852","0.805","Yes"
"1yu0A","Q775D6","381","1.56","[4166.1.1.2] [3761.1.1.6] 209.1.2.2","b.163.1.1 d.169.1.8","2.10.10.30 2.80.20.10 3.90.1580.10","11","28","61","4.61","23.24","0.796","0.792","Yes"
"1yu5X","P02640","67","1.4","[155.1.1.1]","a.14.1.1","1.10.950.10","51","0","49","1.13","12.01","0.780","0.712","Yes"
"1z0bA","O29883","207","1.55","212.1.1.23 [3010.1.1.5]","d.14.1.0","3.30.230.10","36","27","37","0.93","16.75","0.936","0.906","Yes"
"1z1lA","O00408","345","1.7","[131.1.1.10]","a.211.1.0","1.10.1300.10","64","0","36","1.15","20.97","0.898","0.881","Yes"
"1z21A","P68590","112","1.5","[532.2.1.4]","a.243.1.2","1.10.10.1000","70","0","30","1.24","14.68","0.835","0.829","Yes"
"1z2uA","P35129","150","1.1","[216.1.1.7]","d.20.1.1","3.10.110.10","37","21","43","0.77","16.37","0.902","0.899","Yes"
"1z7kB","P00761","62","1.9","379.1.1.1","g.68.1.1","3.30.60.30","18","23","60","1.20","11.88","0.771","0.693","No"
"1zd7B","P74750","159","1.7","69.1.1.9","b.86.1.0","2.170.16.10","18","50","33","0.64","15.24","0.950","0.947","No"
"1zdyA","Q4R2T2","307","1.44","[4194.1.1.1]","d.313.1.1","-","39","24","37","0.83","18.88","0.945","0.945","Yes"
"1zjcA","A0A0H3K3S3","418","1.8","[4160.1.1.1] 7590.1.1.2","e.60.1.1","3.40.1830.10","38","26","36","1.32","21.75","0.748","0.745","Yes"
"1zn6A","A0A0H3LKE5","227","1.8","[4188.1.1.1]","d.303.1.1","3.90.1680.10","16","33","51","1.44","17.93","0.888","0.901","Yes"
"1zosC","Q8DQ16","230","1.6","2011.2.1.6","c.56.2.0","3.40.50.1580","36","30","34","1.00","17.40","0.869","0.886","No"
"1zpeA","P07824","314","1.7","2006.1.5.2","c.42.1.1","3.40.800.10","42","17","41","1.25","19.11","0.876","0.904","No"
"1zswA","Q81H03","338","1.65","[211.1.1.20] 211.1.1.39 211.1.1.72 211.1.1.85","d.32.1.10 d.32.1.10","3.10.180.10 3.10.180.10","18","30","51","3.12","21.57","0.858","0.849","Yes"
"1zt5A","P08833","80","1.82","[363.1.1.1]","g.28.1.1","4.10.800.10","22","21","56","0.99","13.88","0.835","0.823","Yes"
"1zxxA","P80019","319","1.85","2007.1.4.8 [7572.1.1.1]","c.89.1.0","3.40.50.450 3.40.50.460","45","19","36","1.06","22.72","0.871","0.837","Yes"
"2a6sB","P69348","84","1.77","4312.1.1.4","d.298.1.1","3.30.2310.20","38","27","35","0.77","12.53","0.857","0.858","No"
"2abkA","P0AB83","211","1.85","[102.1.2.4]","a.96.1.1","1.10.340.30 1.10.1670.10","56","0","44","1.52","19.50","0.675","0.680","Yes"
"2ad6A","P38539","571","1.5","5.1.5.41","b.70.1.1","2.140.10.10","10","36","53","0.88","22.46","0.930","0.937","No"
"2ad6D","P38539","69","1.5","[582.1.1.1]","a.137.2.1","4.10.160.10","41","3","57","5.98","21.38","0.428","0.382","Yes"
"2ahnA","P50694","222","1.3","11.8.1.5 3484.1.1.4","b.25.1.0","2.60.110.10","13","35","53","1.08","17.29","0.897","0.898","No"
"2aibA","P15569","98","1.1","357.1.1.2","a.134.1.1","1.10.239.10","58","7","35","1.29","13.06","0.688","0.664","No"
"2aj7A","Q9K6V7","163","1.67","4071.1.1.1","b.158.1.1","2.30.290.10","12","33","56","3.03","18.73","0.768","0.829","No"
"2amhA","-","207","2.0","[7504.1.1.3]","c.51.4.2","3.90.950.10","40","25","35","1.08","18.31","0.879","0.785","Yes"
"2at8X","Q94734","184","1.0","[9.1.1.20]","b.60.1.1","2.40.128.20","12","45","42","0.95","15.76","0.884","0.856","Yes"
"2au3A","O67465","407","2.0","[4973.1.1.3] [4023.1.1.1] 2006.1.3.5 375.1.1.39","-","1.20.50.30 3.40.1360.10 3.90.580.10 3.90.980.10","48","15","36","1.20","24.88","0.918","0.832","Yes"
"2au7A","P0A7A9","175","1.05","2.5.1.1","b.40.5.1","3.90.80.10","17","33","51","1.09","15.88","0.835","0.813","No"
"2b0aA","Q58193","186","1.45","2487.1.1.5","c.8.8.1","3.50.30.50","19","34","47","1.47","17.15","0.839","0.811","No"
"2b0tA","P50216","738","1.75","[7510.1.1.1] 7510.1.1.1 7510.1.1.1","c.77.1.2","-","47","18","35","1.30","28.55","0.950","0.804","Yes"
"2b1yA","A9CIG4","104","1.8","[4150.1.1.1]","b.156.1.1","4.10.1210.10","10","0","90","7.31","18.16","0.297","0.282","Yes"
